Ir11,Ir21,Ir31,Ir12,Ir22,Ir32,Voltage_pmax
512.1426476,1068.906497,879.0549315,1080.77254,1305.994998,1361.837196,89.99309151
268.8396892,194.423884,974.7728719,131.3480375,735.5661654,742.4819058,57.63657894
1205.595736,678.794667,550.8389057,940.0035955,1037.761121,728.0734543,91.40871156
486.7977398,209.9961554,820.5288941,367.0034448,62.23572919,1056.906574,60.25807214
339.8995009,619.3632382,962.9145192,502.9194946,1030.876104,552.5904654,92.20500067
956.7822138,985.6664025,619.2275787,27.40867297,463.2010323,594.0332956,57.51353772
378.3785928,275.8753173,1150.409659,601.8899731,1242.879336,547.6561936,91.9773422
1076.760142,555.5081238,1131.919734,1057.107939,528.3537628,302.4264823,57.36865693
1106.570105,1329.025477,458.5916077,939.7701186,614.1029756,1166.900834,57.3731999
1076.395953,234.1549637,1206.77267,1385.821015,720.1928391,1237.993432,56.74703274
823.2364774,216.6532881,279.807952,569.736772,1048.188006,1155.817342,57.16899997
1105.948242,445.9339436,747.6897783,125.9309503,156.3880419,190.8095685,58.73042281
950.1132267,693.2478267,265.5945684,693.008155,206.6515108,76.96380567,59.38890458
1190.997744,784.7833383,1301.452413,975.3340808,815.9073512,1141.556096,91.02974912
1230.619466,1384.476263,0.7313255,1211.614027,857.5930573,1385.930288,56.41235996
738.7520971,671.3327393,1121.886648,318.98011,697.3320077,1261.193484,91.26591454
804.5257068,1183.249459,1034.096409,820.3818502,345.4283364,932.9827042,91.38524913
116.875939,876.3436992,925.3223811,1021.652597,1247.052963,1375.224512,56.71506668
1076.640719,814.025083,1299.638287,812.1265121,23.77611367,169.2033995,91.22288643
1207.795006,678.0151157,1182.797944,293.1671176,773.2078782,881.8367391,56.95736763
44.78742207,860.5987868,507.3760472,69.34561066,685.3979848,269.5145545,59.95304121
172.3172466,287.6918393,205.1208749,264.7010443,59.71337528,889.2770836,26.88816145
394.6135982,754.0353493,973.2282552,698.7624189,750.1214781,623.2564314,90.76544995
173.5051886,686.5002109,1194.197417,1223.498368,378.4120652,291.8459023,60.22276071
790.971399,896.4365552,583.8405323,288.3657217,1327.10637,114.8996899,92.27973991
147.9931972,198.8575707,233.0446172,869.3421015,803.1936708,72.9090464,57.41503404
1303.681938,1020.126354,1032.978315,88.76630097,1204.616788,1308.167167,58.5566939
1378.157637,1202.514343,1099.782585,718.728386,248.6434447,558.0252954,88.24517752
187.5037514,43.24536824,1314.798388,421.8284904,413.7473683,466.1107946,26.40547691
653.8954618,907.4777691,35.31945409,1179.089257,782.645563,1195.739929,57.2074781
487.0308721,624.4373073,75.93527822,247.9505473,927.9312867,463.1605933,59.3500421
1257.880593,165.4172778,1383.7851,755.9749387,989.6843871,1399.288268,57.19644864
402.9890827,580.3315545,650.7759183,1069.53991,1145.485654,140.3101563,57.27946247
249.3637354,503.4888789,79.3865647,730.6399431,470.1885645,245.9366415,59.64326245
292.5253436,1267.214983,945.5476483,655.8554799,1276.985464,145.6162047,58.81056422
1043.764503,1030.774438,786.6059954,257.8717365,836.0958905,419.9117861,91.26612498
